0x1023DAA5	-239576289756xp
0x10DAAE47	09_would_you_people_mouse
0x1094C1A9	0ro96
0x100C721E	0x62547e7
0x100FFD65	167.1
0x1087E613	a_c_chimp_dual-5
0x104CCBB8	a_f_y_beach_01_dual-17
0x10272D33	a_f_y_bevhills_01-35
0x104B27D7	a_f_y_runner_01_dual-23
0x10A4AED2	a_f_y_smartcaspat_01
0x10FCBD0F	a_f_y_soucent_02_p
0x10115BAC	a_f_y_tourist_02_dual-54
0x1008DBF6	a_m_m_fatlatin_01_dual-15
0x10EE4E6A	a_m_o_genstreet_01_white_mini_01
0x1001864D	a_m_y_beachvesp_01-17
0x104AC30C	a_m_y_business_01_dual-0
0x106F55E7	a_m_y_hippy_01-1
0x10FC17F2	a_m_y_hipster_03-20
0x101408C8	a_m_y_studioparty_01_dual-1
0x10B37B6A	a_m_y_vinewood_01_dual-35
0x10252519	a_m_y_vinewood_03_dual-24
0x104F800F	ac10_mph_hum_fin_ext_p2_t10_exp_002-4
0x10EF042E	ac13_fspot_fos_ep1_p1_01-30
0x1019A20D	ac14_family_4_mcs_2p4_00-10
0x1029D88F	ac3_tonya_mcs_3_003-2
0x105AAEAE	adam_away_dance_b_04_v2_tumbler
0x10CCA557	adam_away_dance_g_10_facial
0x10C9EF97	adam_away_dance_j_16_v2_tumbler
0x1087BC98	adam_away_dance_m_12_v2
0x10097DBE	adam_away_idle_s_07_tumbler
0x1062040C	adam_away_idle_u_15_hp_table
0x104C3CDC	adam_unq_shots_b_66_v2_tumbler
0x100BFE17	adam_unq_sync2_c_47_tumbler
0x10376C13	adder-8
0x1051C986	ah3b_coak
0x10104622	ah3b_scaa
0x1034171E	ah_3a_ext-0
0x10E5E7A7	ah_3b_int-2
0x1079931F	ahf_braa
0x105E4103	alieno
0x10B253C0	amanda_gets_drunk_loop2
0x1037C472	amb@prop_human_seat_chair@female@proper@idle_b
0x10588555	amb@prop_human_seat_deckchair_drink@female@react_cowering
0x101C20FC	amb@world_human_stand_mobile_fat@male@text@exit
0x10247D6C	amb_world_human_leaning_male_wall_back_smoking_idle_a
0x1084AFF5	ambulanceshouldrespondto
0x108DE273	amsol_aaaa
0x1076465D	anim@amb@carmeet@checkout_car@female_c@base
0x1053D432	anim@amb@clubhouse@bar@drink@base
0x10713ECF	anim@amb@nightclub@dancers@tale_of_us_entourage@
0x10FDA07C	anim@amb@nightclub@mini@drinking@drinking_shots@ped_b@normal@heeled@
0x100D4CC4	anim@mp_player_intcelebrationmale@cry_baby
0x10FAA533	anim@mp_player_intincarblow_kissbodhi@rps@
0x10CF0C22	anim@mp_player_intincarrespectstd@rds@
0x107BF949	anim@scripted@cayo_v2@ig2_defuse_radar@heeled@
0x107F5C82	anim@scripted@freemode@ig11_smoke_joint@heeled@
0x10E722CB	anim@scripted@npc@agent@ig8_agent_hack@female@
0x109EE9DC	anim@scripted@tycoon@bt5@ig2_ally_lift@male@
0x10D0A0E3	anim@veh@bike@hemi_trike@front@base
0x10C94781	anim@veh@boat@longfin@ps@enter_exit
0x10003330	anim@veh@drivebybike@chopper@front@melee_l@weapon@hammer@
0x1070DF09	anim@veh@gokart@generic@music@base
0x106EDCB8	anim@veh@lowrider@low@front_ds@base
0x109A30ED	anim@weapons@flashlight@stealth
0x107E320F	anim@weapons@musket@musket
0x1006DA78	anim_ac2_fos_ep_2_p3_00-23
0x105C9F95	anim_ac2_fos_ep_2_p3_01-23
0x10775998	anim_ac53_fos_ep1_p6_00-26
0x10B94312	anim_ac54_fos_ep1_p6_01-2
0x101B2633	anim_ac55_fos_ep1_p6_02-32
0x10625B7E	anim_ac61_fos_ep1_p6_00-17
0x10DF4096	anim_ac61_fos_ep1_p6_02-18
0x104D7AD1	anim_ac75_fos_ep1_p6_15-19
0x10242356	anim_ac75_fos_ep1_p6_21-33
0x10F65187	anim_casino_a@amb@casino@games@slots@ped_male@regular@01a@trans
0x10045C82	anim_casino_a@amb@casino@games@slots@ped_male@regular@02b@idles
0x1093B4E6	anim_casino_b@amb@casino@games@roulette@ped_female@no_heels@seat_4@slouchy_withdrink@04a@idles
0x1020D0DC	anim_casino_b@amb@casino@games@roulette@ped_male@seat_1@regular@01b@play@v02
0x100F2364	anim_corona_oat_fos_ep1_p6_019-26
0x10BE772E	anim_corona_oat_fos_ep1_p6_17-9
0x102ABE73	anim_oat_fos_ep1_p6_09-35
0x10723970	anim_oat_fos_ep1_p6_09-9
0x100A8AB9	anim_oat_fos_ep1_p6_26-35
