0x3439AB30	-robert
0x34D0B34A	001215_02_trvs_12_escorted_out_exit_cam
0x34E03B4F	02_ig_1_r_0
0x3475FC98	04_dialogue_iaa_blacksite_mouse
0x34D53307	05_dialogue_upload_speed
0x34AFCADB	0x7c8a6bb
0x3464DF05	0xd4546aa
0x34633870	134.4
0x34EE66B3	152_dukes_modkit
0x34467652	1914971.
0x34BAD0E7	215805.
0x349FC08A	287.
0x34AB59C6	308.1
0x3449D5FF	392_polgauntlet_modkit
0x34DBC102	431_tigon_modkit
0x34D26E32	5su
0x34F7B90E	609_tampa4_modkit
0x3453DF4B	_images
0x3417083E	_scene
0x34AA55FE	_sync_mastered_replay
0x34E6D5AE	_unk_06
0x3429A1F5	a_c_panther_dual-4
0x349F33E1	a_c_retriever
0x34F9843A	a_f_o_genstreet_01_dual-29
0x3439D3C2	a_f_o_soucent_01_black_full_01
0x3458A8B1	a_f_y_gencaspat_01_dual-37
0x34F35DB5	a_f_y_vinewood_01_dual-2
0x34EA03D9	a_f_y_vinewood_02_dual-21
0x34CE9F92	a_f_y_vinewood_02_dual-30
0x34DE92F6	a_m_m_afriamer_01_dual-57
0x342FA137	a_m_m_hillbilly_01_white_mini_01
0x3424B4F0	a_m_m_stlat_02_dual-17
0x34C39A34	a_m_y_business_01-6
0x34641F99	a_m_y_genstreet_01_dual-29
0x341D8A4C	a_m_y_genstreet_01_dual-6
0x3407DE09	a_m_y_hipster_03-22
0x34E5476D	a_m_y_vinewood_01_dual-29
0x34249265	abigail_mcs_1_concat-7
0x3432D0D9	ac1_ah_2_ext_p4_01-0
0x34759DA5	ac24_mph_nar_int_p1_cyan_lamp003-9
0x3485E35F	ac24_mph_nar_int_p1_cyan_lamp004-19
0x34FBA250	ac2_ped_trevor_1_intp4_002-18
0x3416C1DE	ac3_fspot_fos_ep1_p1_00-16
0x34481C4F	ac6_car_5_ext_004-3
0x34ACFD07	ac9_mph_hum_mid_p1_t07_cyan_lamp002-1
0x34155423	action_03_player
0x342F8443	action_05_player_facial
0x3499054F	action_lamar
0x34B74A19	action_var_01_bank_manager_facial
0x34E83BFF	acult_aoae
0x34D55F13	acult_auad
0x343E1D68	adam_away_idle_w_10_start_facial
0x34DA930D	adam_mix_idle_s_18_bottle
0x34E13888	adam_mixdance_idle_d_27_facial
0x34551532	adam_trans_cue_to_mix_a_03_hp_table
0x34B40EBA	adam_unq_sync2_h_37_hp_table
0x344E9F77	adam_unq_sync3_b_21_hp_table
0x34A68071	ah3b_tfaa
0x3407DEC5	ah_3a_ext-2
0x34A05A14	ah_3a_mcs_6-1
0x348F29D0	aimants
0x34E75BF6	alarm_guard_b
0x34F499AE	amb@code_human_cower_stand@male@idle_a
0x34A632B4	amb@code_human_cross_road@male@idle_a
0x348C1220	amb@prop_human_bum_bin@idle_b
0x34EBDE5C	amb@prop_human_seat_deckchair@female@exit
0x345C8207	amb@world_human_aa_coffee@base
0x343EF628	anim@amb@carmeet@checkout_engine@female_b@idles
0x348E734C	anim@amb@prop_human_seat_computer@female@base
0x34A32BFF	anim@mp_player_intincarcall_mebodhi@rds@
0x347CE0E7	anim@veh@apc@ds@enter_exit_side
0x3441FA5F	anim@veh@bike@police@front@base
0x34A351A2	anim@veh@drivebytruck@wastelander@rps_front_0h
0x34043098	anim@veh@plane@starling@front@ds@enter_exit
0x34EB4C46	anim_ac69_fos_ep1_p6_00-12
0x3436DCC4	anim_ac76_fos_ep1_p6_02-3
0x34CC0C53	anim_ac77_fos_ep1_p6_02-13
0x34FD0CB9	anim_ac77_fos_ep1_p6_02-19
0x341E9580	anim_ac77_fos_ep1_p6_02-9
0x34E67D1F	anim_ac83_fos_ep1_p6_00-2
0x34B40309	anim_casino_a@amb@casino@games@insidetrack@ped_female@slouchy_withdrink@01a@play@v02
0x343876B9	anim_casino_a@amb@casino@games@slots@ped_female@regular@02b@play@v01
0x3422E0B5	anim_casino_b@amb@casino@games@roulette@ped_female@seat_1@regular@01a@play@v02
0x34896938	anim_casino_b@amb@casino@games@roulette@ped_female@seat_2@regular_withdrink@02b@play@v02
0x34FCA7A4	anim_oat_fos_ep1_p6_06-24
0x3420CA76	anim_oat_fos_ep1_p6_16-18
0x3489C3C2	anim_spots_oat_fos_ep1_p6_01-11
0x345F8D7E	animl_afat
0x3499C571	animl_agah
0x34C6DA98	animl_apaf
0x34260D9D	animl_bbah
0x34754908	animl_ceaa
0x34D2FAC3	animl_czae
0x345F0E69	animl_dbab
0x34D90708	animl_dnae
0x347C0902	animl_fxam
0x3490ABD6	animl_glal
0x34E2B729	animl_gnah
0x3441988C	animl_gpak
