0xC84CE4FF	0.00
0xC80B4433	001387_03_mics3_2_bar_employee_convo_exit_staff
0xC8D0F048	001446_02_gangintimidation_2_thug_d
0xC89FCB81	054.2
0xC8C01314	05_dialogue_upload_speed_monitor
0xC8BD348A	06_just_let_me_concentrate
0xC8BCA8C4	08_this_is_fine
0xC8FFEA2F	1st_person_transition
0xC869B983	220.1
0xC8E88D6C	2kyfv2z
0xC8CE76D0	324_tulip_modkit
0xC8D0E190	5@bxpd
0xC8851A7D	5ekmj
0xC897B788	__ptr64
0xC8D3B273	_leadin_michael
0xC815CA4B	a_c_retriever-36
0xC81C07FC	a_f_o_genstreet_01_dual-69
0xC878CB51	a_f_y_beach_01_dual-47
0xC8476CD7	a_f_y_business_01-1
0xC8866776	a_f_y_business_02-2
0xC8296253	a_f_y_clubcust_02_dual-29
0xC801D0E0	a_f_y_eastsa_03_latino_full_01
0xC8CAFB5E	a_f_y_hiker_01_white_mini_01
0xC8E08FC3	a_f_y_runner_01_dual-9
0xC8CAD4B0	a_f_y_smartcaspat_01_dual-25
0xC8CB28E4	a_f_y_vinewood_04_white_mini_02
0xC8E43687	a_m_m_afriamer_01_dual-16
0xC8AFCB25	a_m_m_fatlatin_01_dual-70
0xC8E9B0FD	a_m_m_genfat_01_dual-58
0xC85415EC	a_m_m_paparazzi_01_dual-20
0xC8A7B431	a_m_m_studioparty_01_dual-9
0xC89F0184	a_m_m_tourist_01
0xC85ECD6C	a_m_o_tramp_01_dual-16
0xC833FB9A	a_m_o_tramp_01_p
0xC82DB4B1	a_m_y_acult_02_dual-4
0xC80C988D	a_m_y_clubcust_04_dual-25
0xC8FB1BA2	a_m_y_clubcust_04_dual-39
0xC8E08397	a_m_y_cyclist_01-2
0xC87F765F	a_m_y_gay_02_dual-11
0xC8C03719	a_m_y_musclbeac_01-5
0xC8CA3FC6	a_m_y_stbla_02_dual-22
0xC8F07A7A	a_m_y_studioparty_01_dual-5
0xC87872BA	ac1_family_2_intp1_a_1_01-8
0xC8933BB8	ac24_mph_nar_int_p1_cyan_lamp003-21
0xC80DCE04	ac2_family_2_intp1_a_1_02-0
0xC8BA0C00	ac33_bar_1_rcm_p2_00-7
0xC8A7904A	ac3_fra_2_int_p2_b_01-11
0xC822A58A	ac3_light_006-0
0xC8795BF1	ac42_fam_6_int_p3_t7_01-20
0xC892F3C8	action_desk_flag
0xC8133D80	action_m03
0xC8BF6EC9	adam_away_dance_b_04_tumbler
0xC88E7B95	adam_away_idle_f_18_v2_tumbler
0xC8E8B8F3	adam_away_idle_w_10_v2_hp_table
0xC8F8175F	adam_trans_cue_to_mix_a_02_bottle
0xC87403E1	adam_unq_shots_b_66_v2_facial
0xC82248CE	agency_h_1_follow_on_foot
0xC8373554	agency_h_1_get_to_fib
0xC890D9B9	ah3b_qbaa
0xC812DBEA	aimd_calm_bwd_r
0xC8C008A6	airraceboost01
0xC868C4C0	allow_object_low_lod_collision
0xC840AB9A	alto
0xC80B3112	am_doors
0xC8DE0FF3	amanda_gets_drunk_loop2_bottle
0xC83C4EEA	amb@code_human_in_car_idles@generic@rps@idle_c
0xC8E6D40B	amb@code_human_on_bike_idles@police@front@idle_a
0xC80A066A	amb@world_human_stand_mobile@male@text@enter
0xC8257D91	amb_world_human_partying_male_partying_beer_base
0xC8A297CA	anim@amb@casino@hangout@ped_male@stand@01a@exit
0xC85D88C3	anim@cover@weapon@machinegun@gusenberg_str
0xC8136103	anim@mp_player_intcelebrationmale@dj
0xC865AAC9	anim@scripted@nightclub@vomit@
0xC8FF8CC1	anim@veh@boat@jetski@rear@ds
0xC8E7EF1D	anim@veh@boat@marquis@ps@base
0xC8481F7F	anim@veh@driveby@plane@luxor2@rear_ds@1h
0xC8B20FAD	anim@veh@lowrider@std@ds@arm@music@motownidle_d
0xC8A96F97	anim_ac72_fos_ep1_p6_02-33
0xC8CDB7E3	anim_ac72_fos_ep1_p6_02-8
0xC8388CFC	anim_ac76_fos_ep1_p6_01-22
0xC87DCE9B	anim_casino_a@amb@casino@games@spectate@cardtable@ped_male@stand@01b@reacts@vo1
0xC886EE3F	anim_casino_b@amb@casino@games@blackjack@ped_male@regular_withdrink@01a@reacts@v01
0xC8D7BF8D	anim_casino_b@amb@casino@games@roulette@ped_female@no_heels@seat_4@slouchy_withdrink@04b@idles
0xC8DE9FAF	anim_casino_b@amb@casino@games@roulette@ped_male@seat_2@regular@02a@trans
0xC827690B	anim_corona_oat_fos_ep1_p6_15-0
0xC889230E	anim_corona_oat_fos_ep1_p6_18-7
0xC85A74B5	anim_oat_fos_ep1_p6_042-5
0xC882F0D2	anim_oat_fos_ep1_p6_043-25
0xC83A7FD5	anim_oat_fos_ep1_p6_048-4
0xC851E222	anim_oat_fos_ep1_p6_053-8
0xC8B4A364	anim_oat_fos_ep1_p6_21-33
0xC8F3EACB	anim_oat_fos_ep1_p6_22-1
0xC823EA90	anim_spots_oat_fos_ep1_p6_01-13
0xC890EBF7	anim_spots_oat_fos_ep1_p6_05-1
0xC8F9111D	animl_alal
0xC82C0164	animl_apac
0xC8DBD93B	animl_awag
0xC89787BE	animl_bcah
0xC8F08635	animl_cgah
0xC8065610	animl_ckal
0xC8C68D24	animl_dfag
0xC8551DD5	animl_dgac
0xC87E0BEA	animl_dlaj
0xC889020D	animl_edaf
0xC80B3195	ansph_czaa
0xC82937E3	aqas@
0xC8F39D89	ar2_fiaa
0xC8236472	ar2_hhaa
0xC8F4C174	ar_arena_construction_reversing
0xC87CA98B	ar_construction_grinder
0xC8F1DDFC	ar_dlc_ie_warehouse_special_garage_bats
0xC8DE4156	ar_prop_gate_cp_90d_h1
0xC8FD5F23	ar_vehicles_car_alarms_night
0xC865CB69	arm1_aoac
0xC8DBCB95	arm3_cvac
0xC80D948F	arms_faag
0xC8F062CC	arms_hdab
0xC8934CA3	assassination_race
0xC84B2424	asterope-9
0xC884AE83	attract_to_base_chair
0xC8184AAE	audio:/config/game.dat
0xC8B37CC0	authenticationfailed
0xC876CEFF	ba_prop_battle_champ_open_03-39
0xC8475B34	ba_prop_battle_champ_open_03-86
0xC88DAD36	ba_prop_battle_mic-100
0xC80BDFCB	ba_prop_battle_poster_skin_03
0xC849F20C	ba_prop_battle_sniffing_pipe-52
0xC83C8259	ba_prop_battle_sniffing_pipe-70
0xC8776445	ba_prop_battle_sniffing_pipe-9
0xC855FF6C	ba_prop_battle_whiskey_bottle_2_s-14
0xC8D00282	ba_prop_club_emis_rig_05
0xC8E9B535	ba_prop_door_elevator_1l-93
0xC8A468A4	ba_rig_dj_01_lights_03_c
0xC8551FBD	bag_thermal_charge
0xC8E79C16	baller8-53
0xC8F76A88	banshee-4
0xC81C99EE	bar_1_rcm_p2-4
0xC856FBBF	bary1_aoaa
0xC8AFCDCD	base_additive_anim
0xC8559FAE	base_papercutter
0xC8930141	base_worker
0xC84200CD	bb4_asaf
0xC8CE4208	bb4_awaa
0xC8E31B39	bd9
0xC809BFBD	benchmarknoaudio
0xC8DBCE3F	betidle_press_betone_a_face
0xC8CF7581	bfinjection-9
0xC8601D3C	biker_jukebox_punk
0xC884CA48	bill_ig_3_convo_franklin_nothingisupman_3
0xC8FC56B3	bill_ig_4_03_convo_theeliteareouttocrush_9
0xC8821067	bkr_prop_biker_jump_02c
0xC8EB2ABE	bkr_prop_fakeid_pen_01a-47
0xC88981EB	bkr_prop_fakeid_penclipboard-15
0xC8A18A81	bkr_prop_weed_med_01a
0xC81D77E6	blindfire_low_r_exit_facecover
0xC84FFB4F	blitzed
0xC8700E38	bot_01b_bit_02-24
0xC85DFDDF	bouncer_greet_trevor_like
0xC8BC4F14	bro_hug_right
0xC82EDA24	bs2b_csaa
0xC817E821	bs2b_exaa
0xC88FDAFA	bs2b_lqaa
0xC8304F76	bs2b_meaa
0xC897DFEA	bs2b_otaa
0xC8CDA5DD	bs_2b_wait_for_detonation
0xC8E25449	bul_decal_mud
0xC80EFEB2	bul_plaster_brittle
0xC895F59C	bunk_int-27
0xC8258D2B	burnt_ped_head_torso
0xC87747A2	car_1_ext_concat-9
0xC86B4905	car_1_int_concat-21
0xC8B9B6F1	car_glass_opaque
0xC813B574	car_steal_3_agent
0xC885B3ED	careful_2
0xC8EA954A	cargoplane2-16
0xC84893EE	carmod_carmeet_outro
0xC8E92D58	carmod_pbik1_outro
0xC8C2560B	carpark_dt1_03
0xC883D672	cavalcade-43
0xC8EEC827	cbrad_brac
0xC872E5ED	cbrad_dfab
0xC81AAC41	cbrad_dpab
0xC8CCACD5	cbrad_dtaj
0xC8A85312	ch1_09b_vinegrapes_78
0xC89418A6	ch_prop_arcade_street_01b_off-38
0xC844A6E2	ch_prop_casino_keypad_01
0xC844E559	ch_prop_ch_liftdoor_l_01a-15
0xC8630F0E	ch_prop_ch_race_gantry_04
0xC876F48C	ch_prop_ch_unplugged_01a-46
0xC8193497	ch_prop_marker_01a-36
0xC89BA3F2	chatc_alac
0xC81D6571	chatc_cmab
0xC8522DB6	chi2_caaa
0xC8A7B5AC	chi_2_shootout_enemies_alerted
0xC8EAB7AC	chinese_1_int-14
0xC81630DF	clear_chips_outro_facial
0xC8BC2D35	cognoscenti-19
0xC83192E1	communitystats.asmx/readstatsethistory
0xC867A07B	component_at_muzzle_02
0xC8FDE453	component_knife_varmod_xm3_09
0xC8DE6F06	component_minigun_clip_01
0xC897128C	configurebalancereset
0xC8C7239A	const
0xC8597912	construction_site_stream
0xC81A6A41	conv_biz_resp
0xC8216C31	convo_michael_ohhowyoudoing_0
0xC8CC2FBD	corona_fos_ep1_p1_00-2
0xC8D0C05E	corona_fos_ep1_p1_02-15
0xC8A63FCE	corona_fos_ep1_p1_05-23
0xC8DD942C	corona_oatfos_ep_1_p1_024-10
0xC8EC4BDF	countdown_two
0xC8FB9AA8	cover@idles@ai@1h@low@_a
0xC8EFACDC	cpacketmovie
0xC8E20D98	cpacketsoundphonering
0xC86EA0F4	creatures@rat@amb@world_rats_eating@base
0xC8742FE1	crew_logo_sum2_1
0xC8F95127	crew_rankup
0xC85152E5	cropduster1_skin
0xC83F16BE	crw_rank
0xC83E9C8C	crw_updatesc
0xC875ADF0	cs_amandatownley_02_dual-63
0xC81A0815	cs_amandatownley_dual-58
0xC82D66E5	cs_amandatownley_dual-8
0xC800B26E	cs_bigscr_cig_exhale_mouth
0xC8E8A20A	cs_drfriedlander_dual-62
0xC819BFF2	cs_floyd_dual-12
0xC88E40CF	cs_floyd_dual-14
0xC8B5C7B3	cs_guadalope_dual-46
0xC82734FB	cs_gurk_dual-0
0xC833E7AF	cs_lazlow-5
0xC87C7917	cs_lestercrest_2_dual-26
0xC803F05E	cs_lestercrest_2_dual-59
0xC8688D2C	cs_marnie_dual-16
0xC83E90F8	cs_maryann_dual-0
0xC8CB48CB	cs_nigel_dual-8
0xC8E973BD	cs_russiandrunk_dual-6
0xC8B2B127	cs_siemonyetarian_dual-8
0xC891E475	cs_sv_yard_car_wheel_smoke-72
0xC8BC8DA3	cs_tenniscoach_dual-6
0xC8E0F234	csb_ary_dual-5
0xC860AE15	csb_brucie2
0xC88AE100	csb_callgirl_01_dual-3
0xC86BA7CE	csb_callgirl_01_dual-36
0xC8E0263E	csb_faber_02_dual-27
0xC8D02267	csb_gustavo_dual-0
0xC8DF05F5	csb_helmsmanpavel_02_dual-20
0xC8A70264	csb_imani_dual-0
0xC872467B	csb_mp_agent14_dual-39
0xC8E38EE0	csb_oscar_dual-3
0xC8EFC223	csb_rafdeangelis_dual-28
0xC80FDCB4	csb_sessanta_dual-1
0xC8E7EA32	csb_tomcasino_dual-31
0xC8FBB7B3	csb_tonyprince_dual-96
0xC8544F16	csb_undercover_dual-2
0xC82E4E9F	csb_wendy_dual-21
0xC8F60DE2	csfl_apaf
0xC854C2F9	cst2_cyah
0xC8AA77ED	cst3_dcaj
0xC8F7AD26	cst3_doab
0xC8B84F1A	cst7_axac
0xC810687E	cst7_epad
0xC8B34C34	csx_coastboulder_02_
0xC85123A2	cut_sec_veh_exhaust_car-23
0xC8DEEF38	cut_sec_veh_exhaust_truck-22
0xC8DA6A9C	cweaponcomponentflashlightinfo
0xC8C3F39F	cycle
0xC89BA228	d_ac1_trvram_5_p2_002-2
0xC81B9348	d_ac2_ep_8_rcm_002-5
0xC8C212DC	d_ac3_hs4_scp_airs_p2_t07_00-10
0xC88FD319	d_ac47_exl_3_ext_009-9
0xC82278C9	daemon2-35
0xC8DACC19	danceidle_mi_13_turnaround_laz_face
0xC8E32962	danceidle_trans_07_li_to_hi_laz_face
0xC8D32643	darts_hit_wall_master
0xC8D38FCC	decal_normal_only
0xC8F52D4A	deck_deal_p02_card_c
0xC83250F6	des_gasstation_skin01
0xC8E40303	des_stilthouse_root8
0xC88A9E86	dh1_fnaa
0xC8BF912C	dh2a_chopper_arrives
0xC8C0C817	dh2a_ckab
0xC8757BB8	dh2a_djal
0xC868EF89	dh2a_esaa
0xC81764A6	dial_turn_clock_fast
0xC8E8C282	diffusetex
0xC80E1894	dispararle
0xC89D01D0	dix_start_cc
0xC8ECC308	dixn_dance_cntr_c_headphones_table
0xC8A886AE	dixn_trns_cntr_to_lft_headphones
0xC82BA591	dlc_christmas2017/xm_stealavg
0xC896DABA	dlc_heist3/arcade_general_01
0xC8A451E2	dlc_mp2025_01_lsia_intro_cs
0xC86D73E3	dlc_mp_ar_m_feet_0_3
0xC8472A2B	dlc_mp_arena_f_jbib_4_6
0xC8727D59	dlc_mp_arena_f_legs_1_12
0xC8438456	dlc_mp_arena_f_special_1_12
0xC855897B	dlc_mp_arena_m_jbib_7_15
